SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,342,50,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,140,0,N/A,public,N/A,idx_risk_measurements_factor,public.idx_risk_measurements_factor,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,341,82,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,139,0,N/A,public,N/A,idx_risk_measurements_entity,public.idx_risk_measurements_entity,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,340,91,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,135,0,N/A,public,N/A,idx_order_executions_time,public.idx_order_executions_time,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,339,50,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,338,51,N/A,core,N/A,generate_python_export_script,core.generate_python_export_script,CREATE FUNCTION,S
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,134,0,N/A,public,N/A,idx_order_executions_order,public.idx_order_executions_order,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,High,SSC-EWI-0068,User Defined function was transformed to a Snowflake procedure,USER DEFINED FUNCTION WAS TRANSFORMED TO SNOWFLAKE PROCEDURE,14_csv_export_scripts.sql,286,0,N/A,core,N/A,generate_export_shell_script,core.generate_export_shell_script,CREATE FUNCTION,XS
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,131,0,N/A,public,N/A,idx_trades_trader,public.idx_trades_trader,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,326,65,N/A,core,N/A,generate_export_shell_script,core.generate_export_shell_script,CREATE FUNCTION,XS
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,130,0,N/A,public,N/A,idx_trades_settlement,public.idx_trades_settlement,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,325,84,N/A,core,N/A,generate_export_shell_script,core.generate_export_shell_script,CREATE FUNCTION,XS
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,129,0,N/A,public,N/A,idx_trades_date,public.idx_trades_date,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,324,85,N/A,core,N/A,generate_export_shell_script,core.generate_export_shell_script,CREATE FUNCTION,XS
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,128,0,N/A,public,N/A,idx_trades_security,public.idx_trades_security,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-PRF-0008,LOOP usage review,PERFORMANCE REVIEW - LOOP USAGE,14_csv_export_scripts.sql,316,5,N/A,core,N/A,generate_export_shell_script,core.generate_export_shell_script,CREATE FUNCTION,XS
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,127,0,N/A,public,N/A,idx_trades_portfolio,public.idx_trades_portfolio,CREATE INDEX,XS
85141c89-454c-4332-ac2a-5a045f33db04,Medium,SSC-EWI-0073,Pending Functional Equivalence Review,PENDING FUNCTIONAL EQUIVALENCE REVIEW FOR 'EStringLiteralExpr' NODE,14_csv_export_scripts.sql,321,68,N/A,core,N/A,generate_export_shell_script,core.generate_export_shell_script,CREATE FUNCTION,XS
85141c89-454c-4332-ac2a-5a045f33db04,None,SSC-FDM-0021,Create Index is not supported.,CREATE INDEX IS NOT SUPPORTED BY SNOWFLAKE,10_indexes_constraints.sql,124,0,N/A,public,N/A,idx_orders_side_status,public.idx_orders_side_status,CREATE INDEX,XS
